,cluster_id_filled
5,4
6,4
7,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
617,4
618,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
922,4
923,4
924,4
925,4
926,4
927,4
928,4
929,4
930,4
931,4
932,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1536,4
1537,4
1538,4
1539,4
1540,4
1541,4
1542,4
1543,4
1544,4
1545,4
1546,4
1547,4
1842,4
1843,4
1844,4
1845,4
1846,4
1847,4
1848,4
1849,4
1850,4
1851,4
1852,4
1853,4
1854,4
2149,4
2150,4
2151,4
2152,4
2153,4
2154,4
2155,4
2156,4
2157,4
2158,4
2159,4
2160,4
2162,4
2170,4
2171,4
2177,25
2178,25
2180,25
2456,4
2457,4
2459,4
2460,4
2461,4
2462,4
2463,4
2464,4
2465,4
2466,4
2467,4
2468,4
2469,4
2470,4
2471,4
2473,4
2474,4
2477,4
2478,4
2479,4
2480,4
2481,4
2482,25
2483,25
2484,25
2763,4
2764,4
2765,4
2766,4
2767,4
2768,4
2769,4
2770,4
2771,4
2772,4
2773,4
2774,4
2775,4
2776,4
2779,4
2782,4
2784,4
2787,4
2788,4
2789,25
2790,25
2791,25
2792,25
2793,25
3070,4
3072,4
3073,4
3075,4
3077,4
3078,4
3079,4
3080,4
3081,4
3082,4
3083,4
3086,4
3089,4
3091,4
3095,25
3096,25
3097,25
3098,25
3099,25
3102,25
3379,4
3382,4
3383,4
3384,4
3385,4
3386,4
3387,4
3388,4
3389,4
3390,4
3391,4
3392,4
3393,4
3394,4
3396,4
3398,4
3399,4
3402,25
3405,25
3406,25
3414,25
3415,25
3686,4
3687,4
3689,4
3690,4
3691,4
3692,4
3693,4
3694,4
3695,4
3696,4
3697,4
3700,4
3701,4
3702,4
3705,4
3706,4
3712,25
3713,25
3717,25
3993,4
3994,4
3995,4
3996,4
3997,4
3998,4
3999,4
4000,4
4001,4
4003,4
4004,4
4005,4
4007,4
4010,4
4012,4
4013,4
4019,25
4025,25
4026,25
4027,25
4028,25
4029,25
4030,25
4301,4
4302,4
4303,4
4304,4
4305,4
4312,4
4313,4
4314,4
4315,4
4316,4
4319,4
